	Rural	Urbana	Total
1991	 	 	
  Amazonas	600,489	1,502,754	2,103,243
  Brasil	35,834,485	110,990,990	146,825,475
  Alvarães - AM	5,131	3,356	8,487
  Amaturá - AM	2,825	1,913	4,738
  Anamã - AM	4,693	1,331	6,024
  Anori - AM	3,889	5,101	8,990
  Apuí - AM	3,413	2,319	5,732
  Atalaia do Norte - AM	5,832	2,161	7,993
  Autazes - AM	10,744	6,363	17,107
  Barcelos - AM	7,017	4,018	11,035
  Barreirinha - AM	10,693	5,623	16,316
  Benjamin Constant - AM	6,773	11,539	18,312
  Beruri - AM	4,584	2,852	7,436
  Boa Vista do Ramos - AM	4,941	2,563	7,504
  Boca do Acre - AM	13,709	11,296	25,005
  Borba - AM	9,304	7,913	17,217
  Caapiranga - AM	5,126	1,707	6,833
  Canutama - AM	7,962	4,190	12,152
  Carauari - AM	7,800	11,498	19,298
  Careiro - AM	27,488	4,328	31,816
  Careiro da Várzea - AM	17,454	707	18,161
  Coari - AM	17,597	21,081	38,678
  Codajás - AM	5,074	8,388	13,462
  Eirunepé - AM	6,930	13,442	20,372
  Envira - AM	11,693	4,646	16,339
  Fonte Boa - AM	10,672	5,773	16,445
  Guajará - AM	8,660	2,835	11,495
  Humaitá - AM	20,092	18,700	38,792
  Ipixuna - AM	6,099	3,554	9,653
  Iranduba - AM	12,473	6,403	18,876
  Itacoatiara - AM	21,377	37,380	58,757
  Itamarati - AM	7,547	1,538	9,085
  Itapiranga - AM	1,669	3,468	5,137
  Japurá - AM	9,360	1,417	10,777
  Juruá - AM	3,369	1,676	5,045
  Jutaí - AM	5,803	9,087	14,890
  Lábrea - AM	17,608	15,444	33,052
  Manacapuru - AM	21,154	36,019	57,173
  Manaquiri - AM	8,327	2,391	10,718
  Manaus - AM	4,916	1,006,585	1,011,501
  Manicoré - AM	23,484	14,373	37,857
  Maraã - AM	9,639	2,199	11,838
  Maués - AM	13,841	16,658	30,499
  Nhamundá - AM	8,403	4,847	13,250
  Nova Olinda do Norte - AM	6,651	6,298	12,949
  Novo Airão - AM	8,044	5,980	14,024
  Novo Aripuanã - AM	6,202	5,432	11,634
  Parintins - AM	17,192	41,591	58,783
  Pauini - AM	14,313	2,724	17,037
  Presidente Figueiredo - AM	3,857	3,232	7,089
  Rio Preto da Eva - AM	4,176	2,343	6,519
  Santa Isabel do Rio Negro - AM	13,317	2,104	15,421
  Santo Antônio do Içá - AM	12,742	4,472	17,214
  São Gabriel da Cachoeira - AM	16,305	6,835	23,140
  São Paulo de Olivença - AM	8,518	5,105	13,623
  São Sebastião do Uatumã - AM	1,129	3,410	4,539
  Silves - AM	3,462	2,241	5,703
  Tabatinga - AM	8,101	19,822	27,923
  Tapauá - AM	17,870	7,516	25,386
  Tefé - AM	14,913	39,057	53,970
  Tonantins - AM	7,543	2,491	10,034
  Uarini - AM	4,102	1,305	5,407
  Urucará - AM	5,185	6,143	11,328
  Urucurituba - AM	11,702	5,971	17,673
